"ID","Process ID","Process Name","Host Name","Kernel Name","Kernel Time","Context","Stream","Section Name","Metric Name","Metric Unit","Metric Value"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","GPU Speed Of Light Throughput","sm__throughput.avg.pct_of_peak_sustained_elapsed","percent","61.32"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","GPU Speed Of Light Throughput","gpu__time_duration.sum","nsecond","247300"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","GPU Speed Of Light Throughput","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","percent","72.14"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","GPU Speed Of Light Throughput","dram__bytes.sum.per_second","gbyte/second","412.3"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","GPU Speed Of Light Throughput","smsp__average_thread_inst_executed_pred_on_per_inst_executed.ratio","","30.12"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Memory Workload Analysis","lts__t_sector_hit_rate.pct","percent","41.2"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Memory Workload Analysis","l1tex__t_sector_hit_rate.pct","percent","38.1"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Memory Workload Analysis","l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum","","124132"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Memory Workload Analysis","smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct","percent","79.3"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Scheduler Statistics","smsp__warps_active.avg.pct_of_peak_sustained_active","percent","62.4"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Warp State Statistics","smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct","percent","22.5"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Warp State Statistics","smsp__warp_issue_stalled_lg_throttle_per_warp_active.pct","percent","18.2"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Warp State Statistics","smsp__warp_issue_stalled_short_scoreboard_per_warp_active.pct","percent","4.1"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Warp State Statistics","smsp__warp_issue_stalled_barrier_per_warp_active.pct","percent","2.3"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Warp State Statistics","smsp__thread_inst_executed_per_inst_executed.ratio","","24.8"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Warp State Statistics","smsp__sass_branch_targets_threads_diverged.avg.pct_of_peak_sustained_active","percent","12.4"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Warp State Statistics","smsp__warp_issue_stalled_no_instruction_per_warp_active.pct","percent","18.7"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Warp State Statistics","smsp__warp_issue_stalled_math_pipe_throttle_per_warp_active.pct","percent","6.3"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Warp State Statistics","smsp__warp_issue_stalled_tex_throttle_per_warp_active.pct","percent","3.1"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Warp State Statistics","smsp__warp_issue_stalled_wait_per_warp_active.pct","percent","8.2"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Speed Of Light","smsp__inst_executed_pipe_tensor_op_hmma.avg.pct_of_peak_sustained_active","percent","0.0"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Memory","smsp__l1tex_m_l1_read_sectors_pipe_lsu_mem_local_op_ld.sum","","0"
