"ID","Process ID","Process Name","Host Name","Kernel Name","Kernel Time","Context","Stream","Section Name","Metric Name","Metric Unit","Metric Value"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","GPU Speed Of Light Throughput","sm__throughput.avg.pct_of_peak_sustained_elapsed","percent","79.4"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","GPU Speed Of Light Throughput","gpu__time_duration.sum","nsecond","189100"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","GPU Speed Of Light Throughput","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","percent","89.3"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","GPU Speed Of Light Throughput","dram__bytes.sum.per_second","gbyte/second","509.1"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","GPU Speed Of Light Throughput","smsp__average_thread_inst_executed_pred_on_per_inst_executed.ratio","","30.85"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Memory Workload Analysis","lts__t_sector_hit_rate.pct","percent","67.4"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Memory Workload Analysis","l1tex__t_sector_hit_rate.pct","percent","71.2"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Memory Workload Analysis","l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum","","297800"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Memory Workload Analysis","smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct","percent","82.1"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Scheduler Statistics","smsp__warps_active.avg.pct_of_peak_sustained_active","percent","51.2"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Warp State Statistics","smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct","percent","7.1"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Warp State Statistics","smsp__warp_issue_stalled_lg_throttle_per_warp_active.pct","percent","3.2"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Warp State Statistics","smsp__warp_issue_stalled_short_scoreboard_per_warp_active.pct","percent","8.9"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Warp State Statistics","smsp__warp_issue_stalled_barrier_per_warp_active.pct","percent","12.4"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Launch Statistics","launch__registers_per_thread","register/thread","72"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Launch Statistics","launch__shared_mem_per_block_static","byte","32768"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Source Counters","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","134217728"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Source Counters","smsp__sass_thread_inst_executed_op_fadd_pred_on.sum","inst","0"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Source Counters","smsp__sass_thread_inst_executed_op_fmul_pred_on.sum","inst","0"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Source Counters","smsp__sass_thread_inst_executed_op_hfma_pred_on.sum","inst","0"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Source Counters","smsp__sass_thread_inst_executed_op_hadd_pred_on.sum","inst","0"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Source Counters","smsp__sass_thread_inst_executed_op_hmul_pred_on.sum","inst","0"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Source Counters","dram__sectors_read.sum","sector","524288"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Source Counters","dram__sectors_write.sum","sector","262144"
"0","12345","./bench","localhost","chunked_scan_kernel","2024-Mar-18 12:00:00","1","7","Source Counters","smsp__inst_executed.sum","inst","247300000"
